"distance","right_censored","ID"
1194.69654214985,1,4470
1194.69654214985,1,4470
1194.69654214985,1,4470
429.311076111704,1,4497
429.311076111704,1,4497
429.311076111704,1,4497
429.311076111704,1,4497
429.311076111704,1,4497
394.945796212728,1,4497
394.945796212728,1,4497
394.945796212728,1,4497
546.118261798412,1,4506
546.118261798412,1,4506
1280.12600394109,1,4522
1070.35680871987,1,4546
1070.35680871987,1,4546
1070.35680871987,1,4546
847.514930620492,0,4560
1009.77917086519,0,4592
1009.77917086519,0,4592
605.455788915544,0,4592
1515.52869795736,0,4592
1515.52869795736,0,4592
1515.52869795736,0,4592
541.812940545655,0,4593
541.812940545655,0,4593
541.835018410506,0,4593
611.845167572269,0,4593
611.772886449462,0,4593
611.772886449462,0,4593
1148.51228493658,1,4620
548.017290806763,1,4620
155.188521721058,1,4620
155.188521721058,1,4620
879.553145517424,1,4687
1215.71255129115,1,4819
1148.97112890082,1,4819
1148.97112890082,1,4819
276.869820713841,0,5085
276.869820713841,0,5085
276.869820713841,0,5085
874.651262340056,0,5085
874.651262340056,0,5085
874.651262340056,0,5085
874.651262340056,0,5085
874.651262340056,0,5085
874.651262340056,0,5085
874.651262340056,0,5085
940.915406703569,0,5085
960.39044094903,0,5085
979.635866549319,0,5085
979.635866549319,0,5085
979.635866549319,0,5085
979.635866549319,0,5085
979.635866549319,0,5085
1113.45298877314,1,5127
1113.45298877314,1,5127
2563.47395883668,1,5127
2563.47395883668,1,5127
2563.47395883668,1,5127
1981.7568150386,0,5309
218.924888504783,0,5309
218.924888504783,0,5309
218.924888504783,0,5309
218.924888504783,0,5309
218.924888504783,0,5309
703.178167128811,1,5310
823.873869689566,0,5347
823.873869689566,0,5347
1114.85415076804,0,5347
859.075428875246,0,5347
859.075428875246,0,5347
859.075428875246,0,5347
859.075428875246,0,5347
859.075428875246,0,5347
859.075428875246,0,5347
1095.15390254754,0,5387
1028.46951680975,0,5387
542.488968358423,1,5439
870.157481737903,1,5544
870.157481737903,1,5544
870.157481737903,1,5544
1636.59955347637,0,5677
1636.59955347637,0,5677
425.7992944497,1,5708
425.7992944497,1,5708
425.7992944497,1,5708
425.7992944497,1,5708
358.892142700231,0,5901
1226.52336306354,0,5902
263.3789531329,1,5904
263.3789531329,1,5904
263.3789531329,1,5904
883.038677589557,1,5921
4662.55052446251,1,5921
