caseID,ParentID,popID,popName,dogCount,dogsE,dogsV,Th,Td,dogDensityK,dayGenerated,serialInterval,dayInfectious,infectiousPeriod,x_coord,y_coord,strainID,typeOfCase,nExcursions,nDistinctDogs,diedE,nAbandonments,nBitesE,nBitesV,nReinfections,nFailedTransmissions,nTransmissions,Symptoms.started,Month.symptoms.started,Quarter.symptoms.started
3553,0,0,0,0,0,0,-1,-1,0,-1,0,1239,0,667353.779586439,9781230.99195551,79,INCURSION,0,0,0,0,0,0,0,0,0,2005-05-24,0,0
3559,0,0,0,0,0,0,-1,-1,0,-1,0,2206,0,698979.180937096,9804445.60302084,80,INCURSION,0,0,0,0,0,0,0,0,0,2008-01-16,0,0
3683,0,0,0,0,0,0,-1,-1,0,-1,0,2336,0,645862.348063146,9800334.82993119,81,INCURSION,0,0,0,0,0,0,0,0,0,2008-05-25,0,0
3756,0,0,0,0,0,0,-1,-1,0,-1,0,2393,0,697003.846101263,9788712.16756761,82,INCURSION,0,0,0,0,0,0,0,0,0,2008-07-21,0,0
3776,0,0,0,0,0,0,-1,-1,0,-1,0,2387,0,657481.613569336,9791694.3625808,83,INCURSION,0,0,0,0,0,0,0,0,0,2008-07-15,0,0
3780,0,0,0,0,0,0,-1,-1,0,-1,0,2362,0,701661.878898068,9793305.12574485,84,INCURSION,0,0,0,0,0,0,0,0,0,2008-06-20,0,0
3783,0,0,0,0,0,0,-1,-1,0,-1,0,2406,0,687375.179035166,9817417.04297221,85,INCURSION,0,0,0,0,0,0,0,0,0,2008-08-03,0,0
3789,0,0,0,0,0,0,-1,-1,0,-1,0,1758,0,649656.355826947,9816503.54150122,86,INCURSION,0,0,0,0,0,0,0,0,0,2006-10-25,0,0
3790,0,0,0,0,0,0,-1,-1,0,-1,0,2265,0,667811.638930657,9830610.41680047,87,INCURSION,0,0,0,0,0,0,0,0,0,2008-03-15,0,0
3793,0,0,0,0,0,0,-1,-1,0,-1,0,2345,0,665430.183713715,9791734.18843984,88,INCURSION,0,0,0,0,0,0,0,0,0,2008-06-03,0,0
3796,0,0,0,0,0,0,-1,-1,0,-1,0,2396,0,649288.632856642,9814873.52513933,89,INCURSION,0,0,0,0,0,0,0,0,0,2008-07-24,0,0
3799,0,0,0,0,0,0,-1,-1,0,-1,0,2405,0,656105.193912304,9804913.80075467,90,INCURSION,0,0,0,0,0,0,0,0,0,2008-08-02,0,0
3826,0,0,0,0,0,0,-1,-1,0,-1,0,1408,0,645842.785131125,9780709.32559659,91,INCURSION,0,0,0,0,0,0,0,0,0,2005-11-09,0,0
3829,0,0,0,0,0,0,-1,-1,0,-1,0,2326,0,679484.546351803,9795862.84126789,92,INCURSION,0,0,0,0,0,0,0,0,0,2008-05-15,0,0
3842,0,0,0,0,0,0,-1,-1,0,-1,0,2529,0,688090.672496147,9761677.05930096,93,INCURSION,0,0,0,0,0,0,0,0,0,2008-12-04,0,0
3877,0,0,0,0,0,0,-1,-1,0,-1,0,2520,0,675970.294612933,9795879.07274586,94,INCURSION,0,0,0,0,0,0,0,0,0,2008-11-25,0,0
3885,0,0,0,0,0,0,-1,-1,0,-1,0,2504,0,663060.514737001,9798326.46525942,95,INCURSION,0,0,0,0,0,0,0,0,0,2008-11-09,0,0
3905,0,0,0,0,0,0,-1,-1,0,-1,0,2284,0,694054.082000003,9796155.1112961,96,INCURSION,0,0,0,0,0,0,0,0,0,2008-04-03,0,0
3911,0,0,0,0,0,0,-1,-1,0,-1,0,2002,0,671001.223416955,9787622.4239586,97,INCURSION,0,0,0,0,0,0,0,0,0,2007-06-26,0,0
3927,0,0,0,0,0,0,-1,-1,0,-1,0,2528,0,691545.619776296,9812767.22553723,98,INCURSION,0,0,0,0,0,0,0,0,0,2008-12-03,0,0
3928,0,0,0,0,0,0,-1,-1,0,-1,0,2528,0,691766.859441353,9811049.33493842,99,INCURSION,0,0,0,0,0,0,0,0,0,2008-12-03,0,0
3945,0,0,0,0,0,0,-1,-1,0,-1,0,2154,0,660931.841176468,9812296.02794268,100,INCURSION,0,0,0,0,0,0,0,0,0,2007-11-25,0,0
3949,0,0,0,0,0,0,-1,-1,0,-1,0,1417,0,661372.393742581,9814573.20867884,101,INCURSION,0,0,0,0,0,0,0,0,0,2005-11-18,0,0
3964,0,0,0,0,0,0,-1,-1,0,-1,0,2620,0,694636.436353615,9802762.38642779,102,INCURSION,0,0,0,0,0,0,0,0,0,2009-03-05,0,0
3976,0,0,0,0,0,0,-1,-1,0,-1,0,2619,0,690322.868979626,9815456.21581615,103,INCURSION,0,0,0,0,0,0,0,0,0,2009-03-04,0,0
3997,0,0,0,0,0,0,-1,-1,0,-1,0,2745,0,696305.58083977,9791638.87217182,104,INCURSION,0,0,0,0,0,0,0,0,0,2009-07-08,0,0
4010,0,0,0,0,0,0,-1,-1,0,-1,0,2811,0,664470.092478494,9777766.72768098,105,INCURSION,0,0,0,0,0,0,0,0,0,2009-09-12,0,0
4026,0,0,0,0,0,0,-1,-1,0,-1,0,2667,0,680300.966451036,9806662.64110651,106,INCURSION,0,0,0,0,0,0,0,0,0,2009-04-21,0,0
4064,0,0,0,0,0,0,-1,-1,0,-1,0,2661,0,662078.430880105,9827071.9317162,107,INCURSION,0,0,0,0,0,0,0,0,0,2009-04-15,0,0
4068,0,0,0,0,0,0,-1,-1,0,-1,0,1516,0,651272.907107759,9821301.79150214,108,INCURSION,0,0,0,0,0,0,0,0,0,2006-02-25,0,0
4086,0,0,0,0,0,0,-1,-1,0,-1,0,2581,0,666928.458936205,9809826.1359683,109,INCURSION,0,0,0,0,0,0,0,0,0,2009-01-25,0,0
4109,0,0,0,0,0,0,-1,-1,0,-1,0,2026,0,682669.958088322,9785995.15144332,110,INCURSION,0,0,0,0,0,0,0,0,0,2007-07-20,0,0
4116,0,0,0,0,0,0,-1,-1,0,-1,0,2256,0,674014.190197388,9791035.2651812,111,INCURSION,0,0,0,0,0,0,0,0,0,2008-03-06,0,0
4125,0,0,0,0,0,0,-1,-1,0,-1,0,2954,0,650642.531742254,9778863.92748787,112,INCURSION,0,0,0,0,0,0,0,0,0,2010-02-02,0,0
4127,0,0,0,0,0,0,-1,-1,0,-1,0,2846,0,649814.15434614,9779430.78616852,113,INCURSION,0,0,0,0,0,0,0,0,0,2009-10-17,0,0
4128,0,0,0,0,0,0,-1,-1,0,-1,0,1863,0,649986.018215616,9779347.26153915,114,INCURSION,0,0,0,0,0,0,0,0,0,2007-02-07,0,0
4139,0,0,0,0,0,0,-1,-1,0,-1,0,2885,0,639065.005184458,9812084.11127282,115,INCURSION,0,0,0,0,0,0,0,0,0,2009-11-25,0,0
4151,0,0,0,0,0,0,-1,-1,0,-1,0,2951,0,699629.053143195,9803996.92025728,116,INCURSION,0,0,0,0,0,0,0,0,0,2010-01-30,0,0
4158,0,0,0,0,0,0,-1,-1,0,-1,0,1715,0,677051.238940974,9788784.17822267,117,INCURSION,0,0,0,0,0,0,0,0,0,2006-09-12,0,0
4168,0,0,0,0,0,0,-1,-1,0,-1,0,2875,0,648987.540970225,9817968.65974935,118,INCURSION,0,0,0,0,0,0,0,0,0,2009-11-15,0,0
4169,0,0,0,0,0,0,-1,-1,0,-1,0,2691,0,642858.540550826,9820913.16016634,119,INCURSION,0,0,0,0,0,0,0,0,0,2009-05-15,0,0
4173,0,0,0,0,0,0,-1,-1,0,-1,0,2865,0,643900.428308208,9820034.69627416,120,INCURSION,0,0,0,0,0,0,0,0,0,2009-11-05,0,0
4182,0,0,0,0,0,0,-1,-1,0,-1,0,3044,0,661583.995109545,9817812.30195185,121,INCURSION,0,0,0,0,0,0,0,0,0,2010-05-03,0,0
4190,0,0,0,0,0,0,-1,-1,0,-1,0,2540,0,674382.408576717,9802731.67585977,122,INCURSION,0,0,0,0,0,0,0,0,0,2008-12-15,0,0
4192,0,0,0,0,0,0,-1,-1,0,-1,0,2677,0,674225.889458128,9804261.04889612,123,INCURSION,0,0,0,0,0,0,0,0,0,2009-05-01,0,0
4206,0,0,0,0,0,0,-1,-1,0,-1,0,3042,0,676389.91189144,9801115.08295242,124,INCURSION,0,0,0,0,0,0,0,0,0,2010-05-01,0,0
4211,0,0,0,0,0,0,-1,-1,0,-1,0,2357,0,670537.508444174,9811119.00117086,125,INCURSION,0,0,0,0,0,0,0,0,0,2008-06-15,0,0
4214,0,0,0,0,0,0,-1,-1,0,-1,0,3044,0,660435.009702143,9812368.98275754,126,INCURSION,0,0,0,0,0,0,0,0,0,2010-05-03,0,0
4237,0,0,0,0,0,0,-1,-1,0,-1,0,2581,0,663803.491050892,9807386.71664846,127,INCURSION,0,0,0,0,0,0,0,0,0,2009-01-25,0,0
4248,0,0,0,0,0,0,-1,-1,0,-1,0,2747,0,641603.126020339,9806458.42293542,128,INCURSION,0,0,0,0,0,0,0,0,0,2009-07-10,0,0
4282,0,0,0,0,0,0,-1,-1,0,-1,0,2510,0,656995.097887474,9824331.77149411,129,INCURSION,0,0,0,0,0,0,0,0,0,2008-11-15,0,0
4285,0,0,0,0,0,0,-1,-1,0,-1,0,348,0,655082.894280774,9824023.53889381,130,INCURSION,0,0,0,0,0,0,0,0,0,2002-12-15,0,0
4288,0,0,0,0,0,0,-1,-1,0,-1,0,3078,0,670259.2287155,9812344.01087022,131,INCURSION,0,0,0,0,0,0,0,0,0,2010-06-06,0,0
4343,0,0,0,0,0,0,-1,-1,0,-1,0,3036,0,668137.952991303,9782519.79538153,132,INCURSION,0,0,0,0,0,0,0,0,0,2010-04-25,0,0
4367,0,0,0,0,0,0,-1,-1,0,-1,0,3138,0,668731.272957416,9794614.68667049,133,INCURSION,0,0,0,0,0,0,0,0,0,2010-08-05,0,0
4402,0,0,0,0,0,0,-1,-1,0,-1,0,3082,0,663498.692190568,9798056.16083566,134,INCURSION,0,0,0,0,0,0,0,0,0,2010-06-10,0,0
4607,0,0,0,0,0,0,-1,-1,0,-1,0,2995,0,675237.482587294,9818151.54829431,135,INCURSION,0,0,0,0,0,0,0,0,0,2010-03-15,0,0
4634,0,0,0,0,0,0,-1,-1,0,-1,0,2722,0,675841.512852842,9818318.95740199,136,INCURSION,0,0,0,0,0,0,0,0,0,2009-06-15,0,0
4681,0,0,0,0,0,0,-1,-1,0,-1,0,3222,0,676779.575107309,9786779.87665204,137,INCURSION,0,0,0,0,0,0,0,0,0,2010-10-28,0,0
4708,0,0,0,0,0,0,-1,-1,0,-1,0,2862,0,653100.947072806,9826989.36032237,138,INCURSION,0,0,0,0,0,0,0,0,0,2009-11-02,0,0
5015,0,0,0,0,0,0,-1,-1,0,-1,0,3071,0,686564.623303225,9761572.54511311,139,INCURSION,0,0,0,0,0,0,0,0,0,2010-05-30,0,0
5018,0,0,0,0,0,0,-1,-1,0,-1,0,3334,0,666334.878738869,9777768.47387506,140,INCURSION,0,0,0,0,0,0,0,0,0,2011-02-17,0,0
5172,0,0,0,0,0,0,-1,-1,0,-1,0,3062,0,652232.519858968,9819217.69479221,141,INCURSION,0,0,0,0,0,0,0,0,0,2010-05-21,0,0
5746,0,0,0,0,0,0,-1,-1,0,-1,0,3356,0,690811.290890153,9813992.16046459,142,INCURSION,0,0,0,0,0,0,0,0,0,2011-03-11,0,0
